Nama CCTV,Jalan,Kelurahan,Kecamatan,Dinas,Hari,Jam,Jam Obervasi,Anomali,Anomali Kategori,KodeSurveyor,File Video CCTV
MPP_1,-,-,-,DISHUB,Senin,16:00,16:53-17:03,cctv offline,Offline,140810230007,CCTV - 230007
CCTV MERDEKA-JAWA 02,Jl.Merdeka,Babakan Ciamis,Sumur Bandung,DISKOMINFO,Senin,16:00,16:40-16:50,-,Tidak Beranomali,140810230007,CCTV - 230007
CCTV PHH MUSTOFA-AMPERA 01,Jl. Penghulu Haji Hasan Mustopa,Neglasari,Cibeunying Kaler,DISKOMINFO,Senin,16:00,16:40-16:50,-,Tidak Beranomali,140810230007,CCTV - 230007
CCTV KEPATIHAN TENGAH 01,Jl. Kepatihan,Balonggede,Regol,DISKOMINFO,Senin,16:00,16:09-16:19,"terhalang pohon, terkadang glitch dan buffering",Visual Kurang Jelas,140810230008,Kepatihan Tengah 01.mp4
TB JL. SUDIRMAN,Jl. Jenderal Sudirman,Dungus Cariang,Andir,DPU,Senin,17:00,17:07-17:17,terkadang glitch,Visual Kurang Jelas,140810230008,Tb. Jl. Sudirman.mp4
CCTV SOETA-KIRCON 02,Jl. Letnan Jenderal Ibrahim Adjie,Cijaura,Buahbatu,DISKOMINFO,Senin,17:00,17:00-17:10,infinite buffering selama observasi,Tidak Berfungsi,140810230008,Soeta-Kircon 02.mp4
CCTV JL DR DJUNJUNAN BTC 01,Jl. Dr. Djunjunan,Pajajaran,Cicendo,DISKOMINFO,Senin,17:00,17:13-17:23,sedikit buffering dan freeze,Tidak Berjalan Normal,140810230008,Jl Dr Djunjunan Btc 01.mp4
CCTV FLY OVER ANTAPANI 01,Jl. Flyover Jaksa Agung R. Soeprapto,Kebonwaru,Batununggal,DISKOMINFO,Senin,17:00,17:19-17:29,"sedikit terhalang kabel, buffering, dan freeze",Terhalang Objek,140810230008,Fly Over Antapani 01.mp4
CCTV GATOT SUBROTO-BINONG_01,Jl Letnan Jenderal Ibrahim Adjie,Binong,Batununggal,DISKOMINFO,Senin,17:00,17:26-17:36,"sedikit glitch, buffering, dan freeze",Visual Kurang Jelas,140810230008,Gatot Subroto - Binong 01.mp4
CCTV KEPATIHAN TENGAH 02,Jl. Kepatihan,Balongede,Regol,DISKOMINFO,Senin,17:00,17:36-17:46,"terkadang buffering, dan freeze",Tidak Berjalan Normal,140810230008,Kepatihan Tengah 02.mp4
CCTV PASAR CIROYOM 02,Jl. Rajawali Timur,Ciroyom,Andir,DISKOMINFO,Senin,18:00,18:01-18:11,"terkadang buffering, dan freeze",Tidak Berjalan Normal,140810230008,Pasar Ciroyom 02.mp4
CCTV CIKUTRA-TMP 02,Jl. Cikutra Barat,Sukaluyu,Cibeunyi Kaler,DISKOMINFO,Senin,18:00,18:03-18:13,"sedikit glitch, buffering, dan freeze",Visual Kurang Jelas,140810230008,Cikutra-Tmp 02.mp4
CCTV CIHAMPELAS -SKYWALK 06,Jl. Cihampelas,Cipaganti,Coblong,DISKOMINFO,Senin,18:00,18:15-18:25,infinite buffering selama observasi,Tidak Berfungsi,140810230008,Cihampelas-Skywalk 06.mp4
CCTV YANI - LASWI 01,Jl. Laswi,Kacapiring,Batununggal,DISKOMINFO,Senin,18:00,18:02-18:13,-,Tidak Beranomali,140810230009,PELINDUNG - CCTV YANI - LASWI 01.mp4
CCTV PEREMPATAN KIRCON BINONG 01,Jl. Letnan Jendral Ibrahim Adjie,Binong,Batununggal,DISKOMINFO,Senin,18:00,18:28-18:39,Gambar terhalang kabel,Terhalang Objek,140810230009,PELINDUNG - CCTV PEREMPATAN KIRCON BINONG 01.mp4
CCTV CICADAS-GATEWAY_02,Jl. Ahmad Yani,Babakan Surabaya,Kiaracondong,DISKOMINFO,Senin,19:00,18:54-19:05,Buffering yang cukup lama,Tidak Berfungsi,140810230009,PELINDUNG - CCTV CICADAS-GATEWAY_02.mp4
CCTV JL LENGKONG KECIL 01,Jl. Lengkong Kecil,Lengkong,Bojongsoang,DISKOMINFO,Senin,19:00,18:37-18:48,-,Tidak Beranomali,140810230009,PELINDUNG - CCTV JL LENGKONG KECIL 01.mp4
TB JL. CIKUTRA,Jl. Cikutra,Neglasari,Cibeunying Kidul,DPU,Senin,19:00,19:00-19:11,Gambar kurang jelas,Visual Kurang Jelas,140810230009,PELINDUNG - TB JL. CIKUTRA.mp4
CCTV CIPAGANTI-NYLAND 02,Jl. dokter hatta,tamansari,bandung weten,DISKOMINFO,Senin,19:00,19:04-19:15,-,Tidak Beranomali,140810230009,PELINDUNG - CCTV CIPAGANTI-NYLAND 02.mp4
CCTV SOR ARCAMANIK-1,Jl. Arcamanik Endah,Sukamiskin,Arcamanik,DISKOMINFO,Senin,19:00,19:16-19:27,-,Tidak Beranomali,140810230009,PELINDUNG - CCTV SOR ARCAMANIK-1.mp4
CCTV CIJERAH PAL TILU 01,Jl. Jend Sudirman,Cijerah,Bandung Kulon,DISKOMINFO,Senin,19:00,19:16-19:27,-,Tidak Beranomali,140810230009,PELINDUNG - CCTV CIJERAH PAL TILU 01.mp4
CCTV MOH TOHA-DEPAN HUBDAM 01,Jl. Moh Toha,Ciateul,Regol,DISKOMINFO,Senin,19:00,19:28-19:39,-,Tidak Beranomali,140810230009,PELINDUNG - CCTV MOH TOHA-DEPAN HUBDAM 01.mp4
CCTV JAMIKA_02,Jl. Siti Mariah,Jamika,Bojongloa Kaler,DISKOMINFO,Senin,20:00,19:42-19:54,-,Tidak Beranomali,140810230009,PELINDUNG - CCTV JAMIKA_02.mp4
CCTV JL. ANGGREK 01,Jl. Anggrek Raya No. 1,Rancaekek Wetan,Rancaekek,DISKOMINFO,Senin,20:00,20:00 - 20:10,cctv error,Tidak Berfungsi,140810230010,https://drive.google.com/file/d/17DYOA0CcvTU4y_2NxdJunLewn0aUDW6F/view?usp=share_link
CCTV TAMBLONG,Jl. Sumatra,-,Sumur Bandung,DISKOMINFO,Senin,20:00,20:14 - 20:24,cctv error,Tidak Berfungsi,140810230010,https://drive.google.com/file/d/1I_3SALHTm-euDMcVtr0296nagV2_n1b3/view?usp=share_link
CIKAPUNDUNG RIVER_02,Jl. Dr. Ir. Sukarno,Braga,Sumur Bandung,DPKP3,Senin,20:00,20:25 - 20:35,cctv offline,Offline,140810230010,https://drive.google.com/file/d/1gKRaz_bFlvMLic89nYufGmIFw_qCrlrP/view?usp=share_link
CCTV SIMPANG BRAGA 02,Jl. Cikapundung Timur,Braga,Sumur Bandung,DISKOMINFO,Senin,20:00,20:36 - 20:47,cctv error di tengah2,Tidak Berfungsi,140810230010,https://drive.google.com/file/d/1P73-3IqMZSuIbafjTEHQwtNhq7hzT3JY/view?usp=share_link
CCTV CIHAMPELAS-SKYWALK 07,Jl. Cihampelas,Cipaganti,Coblog,DISKOMINFO,Senin,20:00,20:48 - 20:58,cctv tidak ada/offline,Offline,140810230010,https://drive.google.com/file/d/1cQX3nPtYx_OPjCWruRoUrq8KQyep079u/view?usp=share_link
CCTV DEPAN RSUD UJUNG BERUNG 01,Jl. Rumah Sakit,Pakemitan,Cinambo,DISKOMINFO,Senin,21:00,21:01 - 21:11,cctv error di tengah2,Tidak Berfungsi,140810230010,https://drive.google.com/file/d/1mfplrguA_K2tUlfWTSYEA5Q4dWMD24C3/view?usp=share_link
CCTV MOH TOHA-DEPAN HUBDAM 01,Jl. Moh Toha,Ciateul,Regol,DISKOMINFO,Senin,21:00,21:12 - 21:22,-,Tidak Beranomali,140810230010,https://drive.google.com/file/d/1JVEPl97wrQAiVdbX7CGW_brpsPAgZmfv/view?usp=share_link
CCTV CIKUTRA-TMP 02,Jl. Cikutra Barat,Sukaluyu,Cibeunyi Kaler,DISKOMINFO,Senin,21:00,21:23 - 21:33,cctv error di tengah2,Tidak Berfungsi,140810230010,https://drive.google.com/file/d/1iPIPalTn72_FbVRUZpOGa2Vkt-qxkgRf/view?usp=share_link
CCTV JL. PUNGKUR-PASUNDAN 01,Jl. Pungkur,Pungkur,Regol,DISKOMINFO,Senin,21:00,21:45 - 21:56,cctv error di tengah2,Tidak Berfungsi,140810230010,https://drive.google.com/file/d/1U11wT8zRRpa2UPyHJFCwO616mzhB5Ed2/view?usp=share_link
PARKIR TRUNOJOYO RIAU PTZ,Jl. Laksamana Laut Raden Eddy Martadinata,Citarum,Bandung Wetan,DISHUB,Senin,21:00,21:57 - 22:09,cctv offline,Offline,140810230010,https://drive.google.com/file/d/1eZK4N88osY42Rmc7LvehfNrEzA5pNbTU/view?usp=share_link
CCTV DEPAN TERMINAL CICAHEUM 02,Jl. A. Yani,Pasirlayung,Kiaracondong,DISKOMINFO,Senin,21:00,21:03 - 21:13,sebagian layar terhalang pohon,Terhalang Objek,140810230011,CCTV_DEPAN_TERMINAL_CICAHEUM_02[1].mp4
CCTV ITC KEBON KALAPA 02,Jl. Moch. Toha Jl. Pungkur,Pungkur,Regol,DISKOMINFO,Senin,21:00,21:13 - 21:23,separuh layar cctv terhalang pohon,Terhalang Objek,140810230011,CCTV ITC KEBON KALAPA 02.mp4
TAMAN LANSIA,Jl. Cisangkuy,Citarum,Bandung Wetan,DPKP3,Senin,21:00,21:02 - 21:13,salah waktu pada cctv,Salah Timestamp,140810230011,TAMAN LANSIA.mp4
CCTV CICADAS-GATEWAY_02,Jl. Ahmad Yani,Babakan Surabaya,Kiaracondong,DISKOMINFO,Senin,21:00,21:20 - 21:30,video cctv sering loading,Tidak Berfungsi,140810230011,CCTV CICADAS-GATEWAY_02.mp4
CCTV JALAN CITARUM-PET PARK 02,Jl. Cilaki,Cihapit,Bandung Wetan,DISKOMINFO,Senin,21:00,21:02 - 21:12,-,Tidak Beranomali,140810230011,CCTV JALAN CITARUM-PET PARK 02.mp4
PARKIR LOMBOK RIAU 2 (BRI),Jl. Cimanuk,Citarum,Bandung Wetan,DISHUB,Senin,21:00,21:15 - 21:25,cctv error (loading terus),Tidak Berfungsi,140810230011,PARKIR LOMBOK RIAU 2(BRI).mp4
TM PERS MALABAR 03,Jl. Malabar,Lingkar Selatan,Lengkong,DPKP3,Senin,22:00,22:06 - 22:17,cctv error (loading terus),Tidak Berfungsi,140810230011,TM PERS MALABAR 03.mp4
CCTV GATOT SUBROTO - TSM_01,Jl Gatot Subroto 289,Cibangkong,Batununggal,DISKOMINFO,Senin,22:00,22:25 - 22:35,loading di akhir,Tidak Berfungsi,140810230011,CCTV_GATOT_SUBROTO_-_TSM_01.mp4
CCTV PHH MUSTOFA POM-BENSIN PARK HOTEL 02,Jl. Penghulu Haji Hasan Mustopa,Neglasari,Cibeunying Kaler,DISKOMINFO,Senin,22:00,22:01 - 22:11,-,Tidak Beranomali,140810230011,CCTV_PHH_MUSTOFA_POM-BENSIN_PARK_HOTEL_02[1].mp4
TAMAN PASUPATI_02,Jl. Tamansari No.66,Lb. Siliwangi,Coblong,DPKP3,Senin,22:00,22:38 - 22:48,"salah waktu, kadang ngefreeze",Tidak Berjalan Normal,140810230011,TAMAN_PASUPATI_02.mp4
TAMAN LANSIA_02,Jl. Cisangkuy,Citarum,Bandung Wetan,DPKP3,Senin,22:00,22:01-22:11,"salah waktu, kadang layar jadi hijau, ada sesuatu yang sedikit menghalangi pinggiran rekaman, rekamannya hitam putih(?) (yg lain ada warnanya)",Terhalang Objek,140810230012,TAMAN LANSIA 02.mp4
CCTV CICENDO - KB KAWUNG 02,Jl. Cicendo,Babakan Ciamis,Sumur Bandung,DISKOMINFO,Senin,22:00,22:01-22:11,kadang ada gambar yang pecah,Visual Kurang Jelas,140810230012,CCTV CICENDO - KB KAWUNG 02.mp4
CCTV TAMAN SARI - WS 01,Jl. Dayang Sumbi,Lebak Siliwangi,Coblong,DISKOMINFO,Senin,22:00,22:01-22:11,-,Tidak Beranomali,140810230012,CCTV TAMAN SARI - WS 01.mp4
CCTV DEPAN TERMINAL CICAHEUM 01,Jl. A. Yani,Pasirlayung,Kiaracondong,DISKOMINFO,Senin,22:00,22:13-22:23,-,Tidak Beranomali,140810230012,CCTV DEPAN TERMINAL CICAHEUM 01.mp4
CCTV JALAN RIAU-ASMTB 01,Jl. L. L. R.E. Martadinata No.93-95,Cimanuk,Bandung Wetan,DISKOMINFO,Senin,22:00,22:13-22:23,-,Tidak Beranomali,140810230012,CCTV JALAN RIAU-ASMTB 01.mp4
CCTV PASAR KOSAMBI 02,Jl. Jendral Ahmad Yani,Malabar,Lengkong,DISKOMINFO,Selasa,06:00,06:00-06:10,"salah waktu, kadang layar jadi hijau, kadang ada gambar yang pecah",Visual Kurang Jelas,140810230012,CCTV PASAR KOSAMBI 02.mp4
CCTV PEREMPATAN KIRCON BINONG 01,Jl. Letnan Jendral Ibrahim Adjie,Binong,Batununggal,DISKOMINFO,Selasa,06:00,06:00-06:10,ada pohon,Terhalang Objek,140810230012,CCTV PEREMPATAN KIRCON BINONG 01.mp4
CCTV JL. SURYA SUMANTRI 02,Jl. Dangdeur Indah III,Sukagalih,Sukajadi,DISKOMINFO,Selasa,07:00,07:00-07:10,-,Tidak Beranomali,140810230012,CCTV JL. SURYA SUMANTRI 02.mp4
CCTV CIHAMPELAS -SKYWALK 05,CCTV ILANG,,,DISKOMINFO,Selasa,07:00,07:05-07:15,offline,Offline,140810230012,CCTV CIHAMPELAS -SKYWALK 06.mp4
CCTV PHH MUSTOFA POM-BENSIN PARK HOTEL 01,Jl. Penghulu Haji Hasan Mustopa,Neglasari,Cibeunying Kaler,DISKOMINFO,Selasa,07:00,07:17-07:27,-,Tidak Beranomali,140810230012,CCTV PHH MUSTOFA POM-BENSIN PARK HOTEL 01.mp4
CCTV TERMINAL DAGO 02,-,-,-,DISKOMINFO,Selasa,07:00,07.27 - 07.38,cctv offline,Offline,140810230013,https://drive.google.com/file/d/1SnK7AHSRRQVtcc8Tx6ViR0A8lc8dGVqQ/view?usp=sharing
CCTV KATAMSO 02,Jl. Yudawastu Pramuka 2,Cicadas,Cibeunying Kaler,DISKOMINFO,Selasa,07:00,07.03 - 07.14,"terdapat sedikit glitch, terhalang atap sebagian",Visual Kurang Jelas,140810230013,https://drive.google.com/file/d/1jcLTjn3j0A-kCf5Tow57wY0Q14zKI9Jv/view?usp=sharing
CCTV BATAS KOTA 01,Jl. Jenderal Haji Amir Machmud,Cibereum,Kertasari,DISKOMINFO,Selasa,07:00,07.15 - 07.26,kamera sedikit glitch,Visual Kurang Jelas,140810230013,https://drive.google.com/file/d/1B20_B2WAc1PC51JW2ijrL66eBMRfHnIB/view?usp=sharing
TAMAN SKETPARK_03,Jl. BKR nomor 181,Pelindung Hewan,Astanaanyar,DPKP3,Selasa,08:00,08.00 - 08.10,"tanggal dan jam tidak sesuai (menampilkan hari kemarin jam 12 siang), kamera sedikit glitch",Visual Kurang Jelas,140810230013,https://drive.google.com/file/d/1DaAviRv-1KH5nvRn5azIJ37T9jDheh21/view?usp=sharing
CCTV JL SUKAJADI PVJ 02,Jl. Sukajadi,Cipedes,Sukajadi,DISKOMINFO,Selasa,08:00,08.13 - 08.24,kamera sedikit glitch,Visual Kurang Jelas,140810230013,https://drive.google.com/file/d/12Rv2M_uFx4WlgjZE1xtD7wsZlVt6gXm1/view?usp=sharing
TB JL. A. H. NASUTION CIKADUT,Jl. A. H. Nasution,Antapani Wetan,Antapani,DPU,Selasa,08:00,08.24 - 08.34,kamera buram dan sedikit glitch,Visual Kurang Jelas,140810230013,https://drive.google.com/file/d/1ZZqIVhfKL3t4Y37C7PqgjbDtXUSm3hKT/view?usp=sharing
CCTV JL. SURAPATI - GASIBU 01,Jl. Penata Yudha,Lebakgede,Coblong,DISKOMINFO,Selasa,08:00,08.34 - 08.45,kamera sedikit glitch,Visual Kurang Jelas,140810230013,https://drive.google.com/file/d/1X5Z0cgA-Lo2E_9B_2tRCBX9Ksj3pnSr7/view?usp=sharing
CCTV KOPO BIZPARK / DPN BRI KOPO 02,Jl. Raya Kopo,Cirangrang,Babakan Ciparay,DISKOMINFO,Selasa,08:00,08.45 - 08.55,kamera sedikit glitch,Visual Kurang Jelas,140810230013,https://drive.google.com/file/d/1LJ1px5bAIbQ1Vl3ekNcCYRGeIkLyNQZx/view?usp=sharing
CCTV KEPATIHAN TENGAH 01,Jl. Kepatihan,Balonggede,Regol,DISKOMINFO,Selasa,09:00,09.01 - 09.12,"1/2 kamera tertutupi pohon, kamera loading dan ada sedikit glitch",Visual Kurang Jelas,140810230013,https://drive.google.com/file/d/1gKw_r_Mzq01o2NqkClSqbRQZsNa6tEyu/view?usp=sharing
TAMAN LANSIA_04,Jl. Cisangkuy,Citarum,Bandung Wetan,DPKP3,Selasa,09:00,09.12 - 09. 22,"tanggal dan jam tidak sesuai (menampilkan hari kemarin jam 12 siang), kamera loading",Tidak Berfungsi,140810230013,https://drive.google.com/file/d/1B5AoSbtC43ovfEJiFJFi_zRjDjzVks03/view?usp=sharing
CCTV SETIABUDI-BUNGUR 02,Jl. Sukajadi,Cipedes,Sukajadi,DISKOMINFO,Selasa,09:00,09.29 - 09.39,-,Tidak Beranomali,140810230014,https://drive.google.com/file/d/1D6_f72_WGnm1gszxinow1f_BxLStqy8z/view?usp=drivesdk
CCTV PHH MUSTOFA-PUSDAI 02,Jl. Untung Surapati,Sukaluyu,Cibeunying Kaler,DISKOMINFO,Selasa,09:00,09.04-09.14,cctv terhalang kabel,Terhalang Objek,140810230014,https://drive.google.com/file/d/1D038oe7SH9YHsGf3HgCiqqLY92OQEn6D/view?usp=drivesdk
CCTV JL RIAU YOGYA JUNCTION,Jl. L. L. R.E. Martadinata,Citarum,Bandung Wetan,DISKOMINFO,Selasa,09:00,09.17-09.27,-,Tidak Beranomali,140810230014,https://drive.google.com/file/d/1D5LKgR2GE0FD02nsQxSHU6AnEC3d2pTL/view?usp=drivesdk
TAMAN TEGALEGA_08,Jl. Otto Iskandar Dinata,Karanganyar,Astanaanyar,DPKP3,Selasa,09:00,09.42-09.52,tanggal dan jam tidak sesuai (menampilkan hari senin tanggal 5 mei 2024 puul 12.59) dan buffering setelah pukul 13:00:14,Tidak Berfungsi,140810230014,https://drive.google.com/file/d/1DCEfQcVb8Rjqb5oPD4XVE_O-wdjw5Gih/view?usp=drivesdk
CCTV PERTIGAAN AH NASUTION-PASIR IMPUN 02,Jl. A.H. Nasution,Sukamiskin,Arcamanik,DISKOMINFO,Selasa,09:00,09:21 - 09:31,-,Tidak Beranomali,140810230040,PELINDUNG - PEMANTAUAN LINGKUNGAN KOTA BANDUNG - AH Nasution.mp4
CCTV RAJAWALI 01,Jl. Elang,Garuda,Andir,DISKOMINFO,Selasa,10:00,10:49 - 10:59,buffering,Tidak Berfungsi,140810230040,PELINDUNG - PEMANTAUAN LINGKUNGAN KOTA BANDUNG - Rajawali.mp4
CCTV SUKAJADI-SETIABUDHI 01,Jl. Dr. Setiabudi,Hegarmanah,Cidadap,DISKOMINFO,Selasa,10:00,10.35-10.46,cctv buffering,Tidak Berfungsi,140810230014,https://drive.google.com/file/d/1DM0K2JJRTQ_3mQSKdNfrZlsFtHS5Atlj/view?usp=drivesdk
CCTV JL. RUMAH SAKIT-CINAMBO 02,Jl. Rumah Sakit,Sukamulya,Cinambo,DISKOMINFO,Selasa,10:00,10.09-10.19,"terdapat banyak kabel yang menghalangi kamera, terdapat sedikit glitch",Visual Kurang Jelas,140810230014,https://drive.google.com/file/d/1DFOP_6-xbOdueWYlYwsjmyrw1GtOvbSe/view?usp=drivesdk
CCTV DEPAN TOKO INDRA (ALUN2) 01,-,-,-,DISKOMINFO,Selasa,10:00,10.47-10.57,cctv buffering,Tidak Berfungsi,140810230014,https://drive.google.com/file/d/1ClmPK5Xm6vTOz0aO0g2ixa1MzIYbRzu3/view?usp=drivesdk
CCTV JL AMBON SAPARUA 01,Jl. Ambon,Citarum,Bandung Wetan,DISKOMINFO,Selasa,11:00,11.14-11.24,"cctv terhalang pohon, cctv terkadang glitch",Visual Kurang Jelas,140810230014,https://drive.google.com/file/d/1CtHz83lJwnw1W3qmKyuDapLCganRrFyJ/view?usp=drivesdk
CCTV DIPATIUKUR UNPAD 02,Jl Tubagus Ismail Dalam,Lebakgede,Coblong,DISKOMINFO,Selasa,11:00,11.25-11.35,kamera sedikit glitch,Visual Kurang Jelas,140810230014,https://drive.google.com/file/d/1CvBhbWR50z5fNNmM8QV4WoUZj9sTcXW4/view?usp=drivesdk
CCTV PER4AN DALEM KAUM-OTISTA 01,Jl. Otto Iskandarninata,Karanganyar,Subang,DISKOMINFO,Selasa,11:00,11.37-11.47,kamera sedikit glitch,Visual Kurang Jelas,140810230014,https://drive.google.com/file/d/1CwtlKJKfz9f2wfFJjKWZThZDolU5Tk5q/view?usp=drivesdk
CCTV PHH MUSTOFA POM-BENSIN PARK HOTEL 02,Jl. Penghulu Haji Hasan Mustopa,Neglasari,Cibeunying Kaler,DISKOMINFO,Selasa,11:00,11.25-11.35,cctv mengalami glitch,Visual Kurang Jelas,140810230015,CCTV PHH MUSTOFA POM-BENSIN PARK HOTEL 02.mp4
CCTV KIRCON_02,Jl. Letnan Jendral Ibrahim Adjie,Babakan Sari,Kiaracondong,DISKOMINFO,Selasa,11:00,11.32-11.42,cctv mengalami sedikit glitch,Visual Kurang Jelas,140810230015,https://drive.google.com/file/d/10q9QU1LXu1qHdVyKNBN1sLSIwRXxkzPK/view?usp=sharing
CCTV SUKAJADI-SETIABUDHI 02,Jl. Dr. Setiabudi,Hegarmanah,Cidadap,DISKOMINFO,Selasa,11:00,11.40-11.50,cctv buffering,Tidak Berfungsi,140810230015,https://drive.google.com/file/d/1AE1hF3ZVvQk4xJPFRGkRUPwst46cK_EV/view?usp=sharing
CCTV MOH TOHA-DEPAN HUBDAM 01,Jl. Moh Toha,Ciateul,Regol,DISKOMINFO,Selasa,11:00,11.51-12.02,cctv mengalami sedikit glitch dan diakhir mengalami buffering,Visual Kurang Jelas,140810230015,https://drive.google.com/file/d/10HTizJQW7Vdr2uHjZswo8dmtR1M19orT/view?usp=sharing
CCTV DAGO 4 01,Jl. insinyur haji djuanda kartawidjaya,lebak siliwangi,coblong,DISKOMINFO,Selasa,12:00,12.20-12.30,cctv mengalami glitch,Visual Kurang Jelas,140810230015,CCTV DAGO 4 01.mp4
CCTV CIPAGANTI-NYLAND 02,Jl. dokter hatta,tamansari,bandung weten,DISKOMINFO,Selasa,12:00,12.21-12.32,cctv mengalami sedikit glitch,Visual Kurang Jelas,140810230015,https://drive.google.com/file/d/10XJwmtFy2spVz1M8eoJ-4uKHUTeqL4e3/view?usp=sharing
CCTV CIPAGANTI-NYLAND 01,Jl. dokter hatta,tamansari,bandung weten,DISKOMINFO,Selasa,12:00,12.09-12.19,cctv menggalami sedikit glitch,Visual Kurang Jelas,140810230015,https://drive.google.com/file/d/10JL5AaW0EcVH4XLZUdhsJ_ZlBvISQMK3/view?usp=sharing
TAMAN ANGGREK_02,Jl. Anggrek,Cihapit,Bandung Wetan,DPKP3,Selasa,12:00,12.50-13.01,cctv buffering,Tidak Berfungsi,140810230015,TAMAN ANGGREK_02.mp4
CCTV TAMBLONG,Jl. Sumatra,-,Sumur Bandung,DISKOMINFO,Selasa,12:00,12.37-12.47,cctv mengalami sedikit glitch,Visual Kurang Jelas,140810230015,https://drive.google.com/file/d/10_KpulJDivt9fuqexDZ-zpwHuBFq2WMV/view?usp=sharing
CCTV GERBANG KEBON BINATANG 02,Jl. Kebun Binatang Nomor 6,Lebak Siliwangi,Coblong,DISKOMINFO,Selasa,12:00,12.50-13.01,cctv diakhir mengalami buffering,Tidak Berfungsi,140810230015,https://drive.google.com/file/d/12X0MOOcNkyX-HH6jtuTppVPq4FpKUhye/view?usp=sharing
CCTV DAGO 2-SMA 1 02,Jl. insinyur haji djuanda kartawidjaya,lebak siliwangi,coblong,DISKOMINFO,Selasa,12:00,11:52-11:59,kamera glitch menit 4:02,Visual Kurang Jelas,140810230016,DAGO 2.mp4
CCTV DAGO 2-SMA 1 02,Jl. insinyur haji djuanda kartawidjaya,lebak siliwangi,coblong,DISKOMINFO,Selasa,13:00,11:52-11:59,kamera glitch menit 4:12,Visual Kurang Jelas,140810230016,DAGO 2.mp4
CCTV CIHAMPELAS-SKYWALK 04,Jl. Cihampelas,Cipaganti,Coblong,DISKOMINFO,Selasa,13:00,13:00-13:10,buffering,Tidak Berfungsi,140810230016,CIHAMPELAS-SKYWALK 4.mp4
TAMAN SKETPARK_01,Jl. BKR nomor 181,Pelindung Hewan,Astanaanyar,DPKP3,Selasa,13:00,13:12-13:22,buffering,Tidak Berfungsi,140810230016,TAMAN SKETPARK_01.mp4
CCTV JL. PALASARI 01,Jl. Palasari No. 1,Cisurupan,Cibiru,DISKOMINFO,Selasa,13:00,12:09-12:19,-,Tidak Beranomali,140810230016,PALASARI.mp4
CCTV JL DR DJUNJUNAN BTC 02,Jl. Dr. Djunjunan,Pajajaran,Cicendo,DISKOMINFO,Selasa,13:00,12:41-12:52,-,Tidak Beranomali,140810230016,DJUNJUNAN.mp4
CCTV DEPAN TERMINAL CICAHEUM 02,Jl. A. Yani,Pasirlayung,Kiaracondong,DISKOMINFO,Selasa,13:00,12:53-12:59,kamera glitch 2:59,Visual Kurang Jelas,140810230016,CICAHEUM 2.mp4
CCTV HUSEIN 01 - ST HALTE,Jl. Pajajaran,Husen Sastranegara,Cicendo,DISKOMINFO,Selasa,13:00,13:04-13:14,-,Tidak Beranomali,140810230016,HUSEIN.mp4
CCTV CIHAMPELAS -SKYWALK 06,Jl. Cihampelas,Cipaganti,Coblong,DISKOMINFO,Selasa,13:00,13:30-13:40,buffering,Tidak Berfungsi,140810230016,CIHAMPELAS-SKYWALK 6.mp4
CCTV BRAGA 01,Jl. Braga,Braga,Sumur Bandung,DISKOMINFO,Selasa,13:00,13:40-13:50,buffering,Tidak Berfungsi,140810230016,BRAGA 1.mp4
CCTV PASAR KOSAMBI 01,Jl. Jendral Ahmad Yani,Malabar,Lengkong,DISKOMINFO,Selasa,13:00,13.06-13.17,"Jam CCTV kelebihan 1 jam, cctv harus di refresh setiap 2 menit kalau tidak error",Tidak Berfungsi,140810230017,https://drive.google.com/file/d/1S2SyqBGcBfb-FSKKWWEGZmn8FK-y9K1C/view?usp=sharing
TAMAN FILM_01,Jl. Layang Pasupati,Tamansari,Bandung Wetan,DPKP3,Selasa,13:00,13.18-13.28,video tidak dapat di play,Tidak Berfungsi,140810230017,https://drive.google.com/file/d/1US3iarAZzGgB3p2a28jKlpdPOJbXRiM2/view?usp=sharing
CCTV KATAMSO 02,Jl. Yudawastu Pramuka 2,Cicadas,Cibeunying Kaler,DISKOMINFO,Selasa,14:00,14.04-14.11; 14.54-14.59,cctv harus direfresh terus kalau tidak error,Tidak Berfungsi,140810230017,https://drive.google.com/file/d/1216tABa9q7budZ8I87YL6R4BByIFK2IZ/view?usp=sharing
TB JL. SUDIRMAN,Jl. Jenderal Sudirman,Dungus Cariang,Andir,DPU,Selasa,14:00,14.11-14.25,cctv glitch sedikit dan terkadang load,Visual Kurang Jelas,140810230017,https://drive.google.com/file/d/1HX8aIKNjv7t8LfnrCEVcn7OVHlVQ-u-1/view?usp=sharing
CCTV CICENDO - KB KAWUNG 02,Jl. Cicendo,Babakan Ciamis,Sumur Bandung,DISKOMINFO,Selasa,14:00,14.11-14.25,cctv glitch sedikit dan terkadang load,Visual Kurang Jelas,140810230017,https://drive.google.com/file/d/17u1cNTmnqvnXZ8PQfLFQqAbiiuB05dLL/view?usp=sharing
CCTV PHH MUSTOFA-AMPERA 01,Jl. Penghulu Haji Hasan Mustopa,Neglasari,Cibeunying Kaler,DISKOMINFO,Selasa,14:00,14.26-14.40,cctv menghitam diakhir,Tidak Berfungsi,140810230017,https://drive.google.com/file/d/11-5XtpqncBXwTUkoc3YNVOysN20Idjce/view?usp=share_link
